"QuestionnaireAllocation","Acronym","DSRound"
559589,"WGH",103
559591,"WGH",103
559878,"WGH",103
69914,"BMF",101
69917,"BMF",101
69918,"BMF",101
82744,"BMF",101
82790,"BMF",101
82791,"BMF",101
241714,"BMF",102
241715,"BMF",102
241772,"BMF",102
241773,"BMF",102
241841,"BMF",102
241842,"BMF",102
241843,"BMF",102
241844,"BMF",102
241845,"BMF",102
242037,"BMF",102
242039,"BMF",102
242040,"BMF",102
310254,"HHU2",11
310255,"HHU2",11
310256,"HHU2",11
310257,"HHU2",11
310258,"HHU2",11
310259,"HHU2",11
310260,"HHU2",11
310261,"HHU2",11
310262,"HHU2",11
310263,"HHU2",11
310265,"HHU2",11
310267,"HHU2",11
310269,"HHU2",11
310271,"HHU2",11
310273,"HHU2",11
310275,"HHU2",11
310277,"HHU2",11
310279,"HHU2",11
310283,"HHU2",11
310284,"HHU2",11
310285,"HHU2",11
310296,"HHU2",11
310305,"HHU2",11
310311,"HHU2",11
310312,"HHU2",11
310313,"HHU2",11
310315,"HHU2",11
310322,"HHU2",11
310344,"HHU2",11
310345,"HHU2",11
310346,"HHU2",11
310347,"HHU2",11
100151,"MGH",101
102457,"MGH",101
102458,"MGH",101
104144,"MGH",101
105335,"MGH",101
105336,"MGH",101
105340,"MGH",101
105415,"MGH",101
107839,"MGH",101
108011,"MGH",101
108047,"MGH",101
109076,"MGH",101
516370,"BMF",103
516656,"BMF",103
516657,"BMF",103
516697,"BMF",103
516699,"BMF",103
516700,"BMF",103
516705,"BMF",103
91911,"BMF",101
84099,"BMF",101
84100,"BMF",101
84101,"BMF",101
84210,"BMF",101
84211,"BMF",101
84212,"BMF",101
84213,"BMF",101
84214,"BMF",101
84215,"BMF",101
516534,"BMF",103
516536,"BMF",103
516769,"BMF",103
516774,"BMF",103
516789,"BMF",103
516790,"BMF",103
516792,"BMF",103
516793,"BMF",103
516798,"BMF",103
59414,"HHU2",11
59415,"HHU2",11
59416,"HHU2",11
59417,"HHU2",11
59418,"HHU2",11
59419,"HHU2",11
59420,"HHU2",11
59421,"HHU2",11
59422,"HHU2",11
59423,"HHU2",11
59424,"HHU2",11
59425,"HHU2",11
59426,"HHU2",11
59427,"HHU2",11
59428,"HHU2",11
59429,"HHU2",11
59430,"HHU2",11
59431,"HHU2",11
59432,"HHU2",11
59433,"HHU2",11
59434,"HHU2",11
59435,"HHU2",11
59436,"HHU2",11
59437,"HHU2",11
59438,"HHU2",11
59439,"HHU2",11
59440,"HHU2",11
59441,"HHU2",11
59442,"HHU2",11
59443,"HHU2",11
59444,"HHU2",11
59451,"HHU2",11
59452,"HHU2",11
59475,"HHU2",11
59481,"HHU2",11
59489,"HHU2",11
59490,"HHU2",11
59496,"HHU2",11
516801,"BMF",103
516823,"BMF",103
516824,"BMF",103
517207,"BMF",103
517208,"BMF",103
517209,"BMF",103
517366,"BMF",103
517367,"BMF",103
517368,"BMF",103
517369,"BMF",103
517374,"BMF",103
310761,"EVN",11
310762,"EVN",11
310763,"EVN",11
310764,"EVN",11
310765,"EVN",11
310766,"EVN",11
310767,"EVN",11
310768,"EVN",11
310770,"EVN",11
310771,"EVN",11
310772,"EVN",11
310773,"EVN",11
310774,"EVN",11
310775,"EVN",11
310776,"EVN",11
310777,"EVN",11
310780,"EVN",11
310781,"EVN",11
310783,"EVN",11
310784,"EVN",11
310785,"EVN",11
310788,"EVN",11
310789,"EVN",11
310792,"EVN",11
310793,"EVN",11
310794,"EVN",11
310795,"EVN",11
310797,"EVN",11
310798,"EVN",11
310800,"EVN",11
310801,"EVN",11
310802,"EVN",11
310803,"EVN",11
310804,"EVN",11
310806,"EVN",11
310807,"EVN",11
310808,"EVN",11
310809,"EVN",11
310810,"EVN",11
310811,"EVN",11
310812,"EVN",11
310813,"EVN",11
310814,"EVN",11
310815,"EVN",11
310816,"EVN",11
310817,"EVN",11
310818,"EVN",11
310820,"EVN",11
310821,"EVN",11
310822,"EVN",11
310824,"EVN",11
310825,"EVN",11
310826,"EVN",11
310827,"EVN",11
310828,"EVN",11
310829,"EVN",11
310830,"EVN",11
310831,"EVN",11
310832,"EVN",11
310833,"EVN",11
310834,"EVN",11
310835,"EVN",11
310836,"EVN",11
310837,"EVN",11
310838,"EVN",11
310839,"EVN",11
310840,"EVN",11
310845,"EVN",11
310846,"EVN",11
310847,"EVN",11
310848,"EVN",11
310849,"EVN",11
310850,"EVN",11
92424,"BMF",101
92425,"BMF",101
92426,"BMF",101
92428,"BMF",101
92430,"BMF",101
82293,"BMF",101
83145,"BMF",101
83146,"BMF",101
83147,"BMF",101
83148,"BMF",101
85305,"BMF",101
85306,"BMF",101
85307,"BMF",101
87575,"BMF",101
87576,"BMF",101
87578,"BMF",101
91467,"BMF",101
91468,"BMF",101
91469,"BMF",101
91470,"BMF",101
91689,"BMF",101
91691,"BMF",101
91692,"BMF",101
310264,"HHU2",11
310266,"HHU2",11
310268,"HHU2",11
310270,"HHU2",11
310272,"HHU2",11
310274,"HHU2",11
310276,"HHU2",11
310278,"HHU2",11
310280,"HHU2",11
310282,"HHU2",11
310286,"HHU2",11
310302,"HHU2",11
310316,"HHU2",11
310320,"HHU2",11
310321,"HHU2",11
310324,"HHU2",11
310325,"HHU2",11
310326,"HHU2",11
310327,"HHU2",11
310328,"HHU2",11
310329,"HHU2",11
310330,"HHU2",11
310331,"HHU2",11
310348,"HHU2",11
310349,"HHU2",11
310350,"HHU2",11
310351,"HHU2",11
310352,"HHU2",11
310353,"HHU2",11
310354,"HHU2",11
310355,"HHU2",11
310356,"HHU2",11
310357,"HHU2",11
310358,"HHU2",11
310359,"HHU2",11
310360,"HHU2",11
310361,"HHU2",11
310362,"HHU2",11
310363,"HHU2",11
310364,"HHU2",11
310365,"HHU2",11
310366,"HHU2",11
310367,"HHU2",11
310368,"HHU2",11
72648,"BMF",101
72649,"BMF",101
72650,"BMF",101
72651,"BMF",101
72652,"BMF",101
241551,"BMF",102
241552,"BMF",102
241554,"BMF",102
241600,"BMF",102
241601,"BMF",102
241602,"BMF",102
241603,"BMF",102
241604,"BMF",102
241610,"BMF",102
241652,"BMF",102
241653,"BMF",102
241832,"BMF",102
241833,"BMF",102
241866,"BMF",102
367312,"BSU",11
367313,"BSU",11
367315,"BSU",11
367323,"BSU",11
367363,"HHU2",11
367364,"HHU2",11
367366,"HHU2",11
367367,"HHU2",11
367368,"HHU2",11
367369,"HHU2",11
367370,"HHU2",11
367373,"HHU2",11
367374,"HHU2",11
367375,"HHU2",11
367465,"HHU2",11
367466,"HHU2",11
367467,"HHU2",11
367478,"HHU2",11
367479,"HHU2",11
367480,"HHU2",11
83901,"BMF",101
83902,"BMF",101
86196,"BMF",101
86197,"BMF",101
89194,"BMF",101
89195,"BMF",101
89196,"BMF",101
92208,"BMF",101
92210,"BMF",101
93125,"BMF",101
93314,"BMF",101
94092,"BMF",101
367497,"HHU2",11
367498,"HHU2",11
367502,"HHU2",11
367503,"HHU2",11
367517,"HHU2",11
367518,"HHU2",11
367519,"HHU2",11
367528,"HHU2",11
367529,"HHU2",11
367530,"HHU2",11
367531,"HHU2",11
367532,"HHU2",11
97160,"BMF",101
97168,"BMF",101
97169,"BMF",101
69797,"BMF",101
82968,"BMF",101
82970,"BMF",101
82971,"BMF",101
83570,"BMF",101
84241,"BMF",101
84242,"BMF",101
84243,"BMF",101
84284,"BMF",101
84304,"BMF",101
88004,"BMF",101
88112,"BMF",101
88320,"BMF",101
88398,"BMF",101
88399,"BMF",101
88400,"BMF",101
88664,"BMF",101
88665,"BMF",101
88666,"BMF",101
88667,"BMF",101
89999,"BMF",101
90000,"BMF",101
90001,"BMF",101
90002,"BMF",101
90282,"BMF",101
90295,"BMF",101
90296,"BMF",101
90297,"BMF",101
90298,"BMF",101
90299,"BMF",101
92051,"BMF",101
92052,"BMF",101
93989,"BMF",101
93990,"BMF",101
93991,"BMF",101
93992,"BMF",101
95662,"BMF",101
95945,"BMF",101
95950,"BMF",101
516244,"BMF",103
516245,"BMF",103
516247,"BMF",103
516250,"BMF",103
516251,"BMF",103
516502,"BMF",103
516585,"BMF",103
516586,"BMF",103
516588,"BMF",103
516596,"BMF",103
516603,"BMF",103
516680,"BMF",103
516681,"BMF",103
516682,"BMF",103
516683,"BMF",103
516684,"BMF",103
516685,"BMF",103
516686,"BMF",103
516689,"BMF",103
516710,"BMF",103
516711,"BMF",103
516713,"BMF",103
516714,"BMF",103
516717,"BMF",103
516718,"BMF",103
516719,"BMF",103
559582,"WGH",103
559744,"WGH",103
310851,"EVN",11
310852,"EVN",11
310853,"EVN",11
310854,"EVN",11
310855,"EVN",11
310857,"EVN",11
310859,"EVN",11
310860,"EVN",11
310861,"EVN",11
310862,"EVN",11
310863,"EVN",11
310864,"EVN",11
366970,"HHU2",11
366971,"HHU2",11
366972,"HHU2",11
366973,"HHU2",11
366974,"HHU2",11
366975,"HHU2",11
310369,"HHR2",11
310370,"HHR2",11
310371,"HHR2",11
310372,"HHR2",11
310373,"HHR2",11
310375,"HHR2",11
310377,"HHR2",11
310378,"HHR2",11
310379,"HHR2",11
310380,"HHR2",11
310381,"HHR2",11
310382,"HHR2",11
310383,"HHR2",11
310384,"HHR2",11
310385,"HHR2",11
310386,"HHR2",11
310388,"HHR2",11
310389,"HHR2",11
310865,"EVN",11
310866,"EVN",11
310867,"EVN",11
310868,"EVN",11
310869,"EVN",11
310870,"EVN",11
310871,"EVN",11
310872,"EVN",11
310873,"EVN",11
310874,"EVN",11
310875,"EVN",11
310876,"EVN",11
310877,"EVN",11
310878,"EVN",11
310880,"EVN",11
310881,"EVN",11
310883,"EVN",11
310884,"EVN",11
310885,"EVN",11
310886,"EVN",11
310887,"EVN",11
310888,"EVN",11
310890,"EVN",11
310891,"EVN",11
310893,"EVN",11
310894,"EVN",11
310895,"EVN",11
310896,"EVN",11
310897,"EVN",11
310899,"EVN",11
310900,"EVN",11
310901,"EVN",11
310902,"EVN",11
310904,"EVN",11
310905,"EVN",11
310906,"EVN",11
516291,"BMF",103
516367,"BMF",103
516368,"BMF",103
516504,"BMF",103
516505,"BMF",103
516797,"BMF",103
95303,"BMF",101
95304,"BMF",101
95305,"BMF",101
95306,"BMF",101
310224,"HHU2",11
310225,"HHU2",11
310226,"HHU2",11
310227,"HHU2",11
310228,"HHU2",11
310229,"HHU2",11
310230,"HHU2",11
310231,"HHU2",11
310232,"HHU2",11
310233,"HHU2",11
310234,"HHU2",11
310235,"HHU2",11
310236,"HHU2",11
310237,"HHU2",11
310287,"HHU2",11
310288,"HHU2",11
310289,"HHU2",11
310290,"HHU2",11
310291,"HHU2",11
310292,"HHU2",11
310293,"HHU2",11
310294,"HHU2",11
310295,"HHU2",11
310300,"HHU2",11
310303,"HHU2",11
310306,"HHU2",11
310307,"HHU2",11
310308,"HHU2",11
310309,"HHU2",11
310310,"HHU2",11
310317,"HHU2",11
310319,"HHU2",11
310332,"HHU2",11
310333,"HHU2",11
310334,"HHU2",11
310335,"HHU2",11
310336,"HHU2",11
310337,"HHU2",11
310338,"HHU2",11
310339,"HHU2",11
242157,"BMF",102
242158,"BMF",102
242197,"BMF",102
242199,"BMF",102
242229,"BMF",102
242230,"BMF",102
242250,"BMF",102
242252,"BMF",102
516387,"BMF",103
516390,"BMF",103
516396,"BMF",103
516422,"BMF",103
516425,"BMF",103
516428,"BMF",103
516431,"BMF",103
516432,"BMF",103
516626,"BMF",103
69798,"BMF",101
69799,"BMF",101
69801,"BMF",101
69802,"BMF",101
73546,"BMF",101
73547,"BMF",101
73548,"BMF",101
75403,"BMF",101
75404,"BMF",101
75435,"BMF",101
84097,"BMF",101
85336,"BMF",101
85683,"BMF",101
86541,"BMF",101
86971,"BMF",101
86972,"BMF",101
86973,"BMF",101
367314,"BSU",11
367321,"BSU",11
90594,"BMF",101
90595,"BMF",101
93355,"BMF",101
93359,"BMF",101
93770,"BMF",101
93773,"BMF",101
93774,"BMF",101
93789,"BMF",101
93790,"BMF",101
69520,"BMF",101
69521,"BMF",101
72231,"BMF",101
72641,"BMF",101
72642,"BMF",101
72643,"BMF",101
72645,"BMF",101
75158,"BMF",101
75159,"BMF",101
75160,"BMF",101
75161,"BMF",101
75162,"BMF",101
75163,"BMF",101
75164,"BMF",101
367396,"HHU2",11
367397,"HHU2",11
367398,"HHU2",11
367399,"HHU2",11
367400,"HHU2",11
367401,"HHU2",11
367402,"HHU2",11
367403,"HHU2",11
367404,"HHU2",11
367443,"HHU2",11
367444,"HHU2",11
367445,"HHU2",11
367446,"HHU2",11
367504,"HHU2",11
367522,"HHU2",11
367523,"HHU2",11
559619,"WGH",103
559648,"WGH",103
559652,"WGH",103
559654,"WGH",103
559772,"WGH",103
559774,"WGH",103
559780,"WGH",103
559783,"WGH",103
559747,"WGH",103
517092,"BMF",103
517410,"BMF",103
517435,"BMF",103
517437,"BMF",103
516294,"BMF",103
516295,"BMF",103
516299,"BMF",103
516301,"BMF",103
516302,"BMF",103
516303,"BMF",103
516304,"BMF",103
516305,"BMF",103
516306,"BMF",103
516439,"BMF",103
516441,"BMF",103
516442,"BMF",103
516520,"BMF",103
516521,"BMF",103
516522,"BMF",103
82596,"BMF",101
82597,"BMF",101
82715,"BMF",101
82716,"BMF",101
83362,"BMF",101
83363,"BMF",101
83364,"BMF",101
83365,"BMF",101
84585,"BMF",101
84587,"BMF",101
84603,"BMF",101
86319,"BMF",101
88514,"BMF",101
103008,"MGH",101
103009,"MGH",101
103023,"MGH",101
103026,"MGH",101
103124,"MGH",101
103125,"MGH",101
103126,"MGH",101
104042,"MGH",101
106358,"MGH",101
108174,"MGH",101
109038,"MGH",101
109351,"MGH",101
109352,"MGH",101
109934,"MGH",101
93574,"BMF",101
93575,"BMF",101
93576,"BMF",101
93607,"BMF",101
93612,"BMF",101
93613,"BMF",101
93841,"BMF",101
93842,"BMF",101
93843,"BMF",101
93844,"BMF",101
94915,"BMF",101
94916,"BMF",101
94917,"BMF",101
95746,"BMF",101
95747,"BMF",101
95766,"BMF",101
72306,"BMF",101
72307,"BMF",101
516644,"BMF",103
367215,"HHU2",11
367219,"HHU2",11
367220,"HHU2",11
241500,"BMF",102
241521,"BMF",102
242044,"BMF",102
242088,"BMF",102
242089,"BMF",102
242090,"BMF",102
242093,"BMF",102
242095,"BMF",102
242096,"BMF",102
242097,"BMF",102
242099,"BMF",102
242101,"BMF",102
242110,"BMF",102
242137,"BMF",102
242138,"BMF",102
242181,"BMF",102
242183,"BMF",102
242185,"BMF",102
242211,"BMF",102
516375,"BMF",103
516391,"BMF",103
516395,"BMF",103
367181,"BSU",11
367188,"BSU",11
367190,"BSU",11
367198,"HHU",11
367199,"HHU",11
367207,"HHU",11
367208,"HHU",11
516509,"BMF",103
516518,"BMF",103
516533,"BMF",103
516537,"BMF",103
516539,"BMF",103
516540,"BMF",103
516541,"BMF",103
516618,"BMF",103
516619,"BMF",103
516620,"BMF",103
516621,"BMF",103
516623,"BMF",103
516630,"BMF",103
516661,"BMF",103
516663,"BMF",103
516664,"BMF",103
91791,"BMF",101
91792,"BMF",101
91793,"BMF",101
92246,"BMF",101
92247,"BMF",101
92248,"BMF",101
367229,"HHU2",11
367252,"HHU2",11
367253,"HHU2",11
367254,"HHU2",11
367255,"HHU2",11
367256,"HHU2",11
367257,"HHU2",11
367597,"HHU2",11
367598,"HHU2",11
102183,"MGH",101
102184,"MGH",101
102392,"MGH",101
310907,"EVN",11
310908,"EVN",11
310909,"EVN",11
310910,"EVN",11
310911,"EVN",11
310913,"EVN",11
310914,"EVN",11
310915,"EVN",11
310916,"EVN",11
310917,"EVN",11
310918,"EVN",11
310919,"EVN",11
310920,"EVN",11
310921,"EVN",11
310922,"EVN",11
310924,"EVN",11
310925,"EVN",11
310926,"EVN",11
310928,"EVN",11
310929,"EVN",11
310930,"EVN",11
310931,"EVN",11
310932,"EVN",11
310933,"EVN",11
310934,"EVN",11
310935,"EVN",11
310936,"EVN",11
311675,"EVN",11
311677,"EVN",11
311678,"EVN",11
311679,"EVN",11
311682,"EVN",11
311683,"EVN",11
311684,"EVN",11
311685,"EVN",11
311686,"EVN",11
311687,"EVN",11
311688,"EVN",11
311691,"EVN",11
311692,"EVN",11
311694,"EVN",11
311695,"EVN",11
311696,"EVN",11
311697,"EVN",11
311698,"EVN",11
311699,"EVN",11
311700,"EVN",11
311701,"EVN",11
311703,"EVN",11
311704,"EVN",11
311705,"EVN",11
311706,"EVN",11
311707,"EVN",11
311708,"EVN",11
311709,"EVN",11
311710,"EVN",11
311711,"EVN",11
311713,"EVN",11
311715,"EVN",11
311716,"EVN",11
311717,"EVN",11
311720,"EVN",11
311721,"EVN",11
311722,"EVN",11
311723,"EVN",11
311724,"EVN",11
311725,"EVN",11
311726,"EVN",11
311727,"EVN",11
311731,"EVN",11
311732,"EVN",11
311733,"EVN",11
311734,"EVN",11
102501,"MGH",101
102502,"MGH",101
105011,"MGH",101
367637,"HHU2",11
367638,"HHU2",11
367191,"BSU",11
367195,"BSU",11
367209,"HHU",11
367213,"HHU",11
516547,"BMF",103
516548,"BMF",103
516550,"BMF",103
516553,"BMF",103
516558,"BMF",103
516559,"BMF",103
516560,"BMF",103
516562,"BMF",103
516566,"BMF",103
516568,"BMF",103
86427,"BMF",101
86429,"BMF",101
367240,"HHU2",11
367241,"HHU2",11
367242,"HHU2",11
367243,"HHU2",11
367244,"HHU2",11
367245,"HHU2",11
367247,"HHU2",11
367248,"HHU2",11
367276,"HHU2",11
367277,"HHU2",11
367278,"HHU2",11
367279,"HHU2",11
367280,"HHU2",11
367281,"HHU2",11
102192,"MGH",101
102195,"MGH",101
102196,"MGH",101
102503,"MGH",101
102505,"MGH",101
102507,"MGH",101
104903,"MGH",101
106397,"MGH",101
91825,"BMF",101
91826,"BMF",101
91827,"BMF",101
91831,"BMF",101
91832,"BMF",101
92535,"BMF",101
92536,"BMF",101
92538,"BMF",101
92539,"BMF",101
92540,"BMF",101
92546,"BMF",101
92547,"BMF",101
93506,"BMF",101
517105,"BMF",103
517108,"BMF",103
517120,"BMF",103
74565,"BMF",101
97519,"BMF",101
97520,"BMF",101
559679,"WGH",103
559680,"WGH",103
559695,"WGH",103
559697,"WGH",103
516287,"BMF",103
516288,"BMF",103
516289,"BMF",103
516346,"BMF",103
516350,"BMF",103
516352,"BMF",103
516356,"BMF",103
516542,"BMF",103
516563,"BMF",103
516564,"BMF",103
516565,"BMF",103
516574,"BMF",103
516575,"BMF",103
516576,"BMF",103
516578,"BMF",103
516579,"BMF",103
516582,"BMF",103
516583,"BMF",103
516584,"BMF",103
86330,"BMF",101
86333,"BMF",101
87123,"BMF",101
87127,"BMF",101
87128,"BMF",101
87129,"BMF",101
87130,"BMF",101
104651,"MGH",101
106362,"MGH",101
106727,"MGH",101
106731,"MGH",101
106732,"MGH",101
107728,"MGH",101
107729,"MGH",101
107730,"MGH",101
110830,"MGH",101
89330,"BMF",101
89331,"BMF",101
89332,"BMF",101
89333,"BMF",101
89334,"BMF",101
96999,"BMF",101
97000,"BMF",101
97001,"BMF",101
97002,"BMF",101
516731,"BMF",103
516734,"BMF",103
516737,"BMF",103
516739,"BMF",103
516740,"BMF",103
516749,"BMF",103
516750,"BMF",103
516751,"BMF",103
516875,"BMF",103
516881,"BMF",103
516886,"BMF",103
516887,"BMF",103
516894,"BMF",103
516896,"BMF",103
75716,"BMF",101
75717,"BMF",101
75718,"BMF",101
77020,"BMF",101
77022,"BMF",101
98204,"BMF",101
559625,"WGH",103
559628,"WGH",103
87079,"BMF",101
87080,"BMF",101
87081,"BMF",101
87082,"BMF",101
88149,"BMF",101
88151,"BMF",101
88152,"BMF",101
88153,"BMF",101
516241,"BMF",103
516246,"BMF",103
516249,"BMF",103
516254,"BMF",103
366989,"BSU",11
366990,"BSU",11
367005,"HHU",11
367006,"HHU",11
367007,"HHU",11
516461,"BMF",103
516463,"BMF",103
516464,"BMF",103
516466,"BMF",103
516467,"BMF",103
516469,"BMF",103
241542,"BMF",102
241543,"BMF",102
241731,"BMF",102
241732,"BMF",102
242016,"BMF",102
242018,"BMF",102
242019,"BMF",102
242022,"BMF",102
88282,"BMF",101
90795,"BMF",101
90796,"BMF",101
91001,"BMF",101
91333,"BMF",101
91500,"BMF",101
91501,"BMF",101
91502,"BMF",101
91673,"BMF",101
91675,"BMF",101
91676,"BMF",101
91686,"BMF",101
91687,"BMF",101
367068,"HHU2",11
367079,"HHU2",11
367080,"HHU2",11
367081,"HHU2",11
367082,"HHU2",11
367083,"HHU2",11
367084,"HHU2",11
367085,"HHU2",11
367086,"HHU2",11
367087,"HHU2",11
367088,"HHU2",11
367089,"HHU2",11
367090,"HHU2",11
367091,"HHU2",11
367092,"HHU2",11
367093,"HHU2",11
367094,"HHU2",11
367095,"HHU2",11
367096,"HHU2",11
367097,"HHU2",11
367098,"HHU2",11
367099,"HHU2",11
367100,"HHU2",11
311735,"EVN",11
311736,"EVN",11
311737,"EVN",11
311739,"EVN",11
311740,"EVN",11
311742,"EVN",11
311743,"EVN",11
311744,"EVN",11
311745,"EVN",11
311746,"EVN",11
311747,"EVN",11
311748,"EVN",11
311750,"EVN",11
311751,"EVN",11
311753,"EVN",11
311754,"EVN",11
311755,"EVN",11
311756,"EVN",11
311757,"EVN",11
311758,"EVN",11
311759,"EVN",11
311762,"EVN",11
311763,"EVN",11
311764,"EVN",11
311766,"EVN",11
311767,"EVN",11
311768,"EVN",11
311769,"EVN",11
311770,"EVN",11
311771,"EVN",11
311773,"EVN",11
311774,"EVN",11
311775,"EVN",11
311776,"EVN",11
311777,"EVN",11
311778,"EVN",11
311779,"EVN",11
311782,"EVN",11
311783,"EVN",11
311785,"EVN",11
311786,"EVN",11
311787,"EVN",11
311789,"EVN",11
311792,"EVN",11
311793,"EVN",11
311794,"EVN",11
311796,"EVN",11
311797,"EVN",11
311798,"EVN",11
310390,"HHR2",11
310391,"HHR2",11
310392,"HHR2",11
310393,"HHR2",11
310395,"HHR2",11
310396,"HHR2",11
310400,"HHR2",11
310401,"HHR2",11
310402,"HHR2",11
310403,"HHR2",11
310404,"HHR2",11
310405,"HHR2",11
310406,"HHR2",11
310407,"HHR2",11
310408,"HHR2",11
310410,"HHR2",11
310412,"HHR2",11
310413,"HHR2",11
310414,"HHR2",11
310415,"HHR2",11
310416,"HHR2",11
310417,"HHR2",11
310419,"HHR2",11
559629,"WGH",103
559767,"WGH",103
559977,"WGH",103
119240,"WGH",101
119241,"WGH",101
84787,"BMF",101
84789,"BMF",101
84791,"BMF",101
86837,"BMF",101
86838,"BMF",101
86839,"BMF",101
86841,"BMF",101
88387,"BMF",101
89328,"BMF",101
89329,"BMF",101
516261,"BMF",103
516262,"BMF",103
516263,"BMF",103
516264,"BMF",103
516265,"BMF",103
516266,"BMF",103
516267,"BMF",103
516296,"BMF",103
516298,"BMF",103
516300,"BMF",103
516925,"BMF",103
516926,"BMF",103
516927,"BMF",103
516928,"BMF",103
516929,"BMF",103
516930,"BMF",103
97285,"BMF",101
97286,"BMF",101
70563,"BMF",101
70564,"BMF",101
70565,"BMF",101
70566,"BMF",101
70567,"BMF",101
70568,"BMF",101
70569,"BMF",101
559597,"WGH",103
99387,"MGH",101
99388,"MGH",101
99389,"MGH",101
99390,"MGH",101
104796,"MGH",101
105620,"MGH",101
105621,"MGH",101
105623,"MGH",101
106595,"MGH",101
107290,"MGH",101
107992,"MGH",101
516954,"BMF",103
516955,"BMF",103
516956,"BMF",103
516957,"BMF",103
516974,"BMF",103
516975,"BMF",103
516976,"BMF",103
516977,"BMF",103
516978,"BMF",103
516982,"BMF",103
516987,"BMF",103
516991,"BMF",103
517197,"BMF",103
517200,"BMF",103
310420,"HHR2",11
310421,"HHR2",11
310422,"HHR2",11
310424,"HHR2",11
310425,"HHR2",11
310426,"HHR2",11
310428,"HHR2",11
310429,"HHR2",11
310430,"HHR2",11
310431,"HHR2",11
310432,"HHR2",11
310433,"HHR2",11
310434,"HHR2",11
310435,"HHR2",11
310436,"HHR2",11
310437,"HHR2",11
310438,"HHR2",11
310439,"HHR2",11
310440,"HHR2",11
310441,"HHR2",11
310444,"HHR2",11
310445,"HHR2",11
310447,"HHR2",11
310448,"HHR2",11
310449,"HHR2",11
310451,"HHR2",11
310452,"HHR2",11
310453,"HHR2",11
310454,"HHR2",11
310455,"HHR2",11
310456,"HHR2",11
310457,"HHR2",11
310458,"HHR2",11
310459,"HHR2",11
310460,"HHR2",11
310461,"HHR2",11
310462,"HHR2",11
310470,"HHR2",11
310471,"HHR2",11
310472,"HHR2",11
310473,"HHR2",11
310474,"HHR2",11
310475,"HHR2",11
310476,"HHR2",11
310477,"HHR2",11
310479,"HHR2",11
310480,"HHR2",11
310483,"HHR2",11
310485,"HHR2",11
311799,"EVN",11
311800,"EVN",11
311802,"EVN",11
311803,"EVN",11
311804,"EVN",11
311805,"EVN",11
311807,"EVN",11
311808,"EVN",11
311809,"EVN",11
311810,"EVN",11
311811,"EVN",11
311813,"EVN",11
311814,"EVN",11
311816,"EVN",11
311817,"EVN",11
